armstrong,Armstrong,West,498 Eighth St NW,3459,[2],['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2021-11/armstrong-hero.jpeg.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/arm-hef-cafegallery.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/armloungegallery_0.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/arm-hef-classroomgallery.jpg']",-84.40298,33.77062
brown,Brown,East,625 Techwood Dr NW,3459,[2],['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/building_13.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/brownbedroom005_w_bedrails.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/brownkitchen001.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/brownkitchen002.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/smithworkout001.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/smithworkout004.gif']",-84.3918337,33.7716721
caldwell,Caldwell,West,521 Turner Place NW,3459,[2],"['Explore', 'First-Year Experience (FE)']",Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/gatech_june2015_180.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/caldwell_activity_room_0.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/caldwellkitchen001.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/caldwellstudy001.gif']",-84.4044125,33.7788959
center-street-north,Center Street North,West,939 Hemphill Ave NW,4829,[4],['Undergraduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/14c6001-p4-004-north-800.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/centerstreetlivingroom2.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/centerstreetkitchen.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/csn-bedroom-black-dots.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/csnstudylarge001.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/centerstreetworkout001.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/csaconnector001.gif']",-84.4023694,33.7803172
center-street-south,Center Street South,West,939 Hemphill Ave NW,4829,[4],['Undergraduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/building_20.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/cssatrium001.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/centerstreetkitchen_0.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/centerstreetlivingroom2_0.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/centerstreetworkout001_0.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/centerstreetactivityroom002_0.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/csaconnector001_0.gif']",-84.4023694,33.7803172
cloudman,Cloudman,East,661 Techwood Dr NW,3459,"[2, 3]","['First-Year Experience (FE)', 'Grand Challenges']",Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/cld-bldg.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/cloudmanbedroom2_w_bedrail_1.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/cloudmanbedroom4_1.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/cloudmanactivityrm002.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/cloudmanlounge001.gif']",-84.391733,33.7727469
crecine,Crecine,West,900 Hemphill Ave NW,4829,"[3, 4]",['Undergraduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/cre-building.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/Crecine-Lobby.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/Groove-Crecine.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/cre-5th-floor-atrium_7557.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/crecinestudy001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/cre-kitchen-living-room.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/cre-living-room.jpg']",-84.4032062,33.7799092
eighth-street-east,Eighth Street East,West,555 8th St NW,4829,"[2, 4, 6]",['Honors'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/ese-building.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/esa-kitchenette.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/esa-rec-area.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/ese-living-room-kitchen.jpg']",-84.4052835,33.7799706
eighth-street-south,Eighth Street South,West,555 8th St NW,4829,"[2, 4, 6]",['Honors'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/14c6001-p4-010.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/ese-living-room-kitchen_0.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/essmeeting001.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/esa-kitchenette_0.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/esa-rec-area_0.jpg']",-84.4052835,33.7799706
eighth-street-west,Eighth Street West,West,555 8th St NW,4829,"[2, 4, 6]",['Undergraduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/esw-building.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/esw-living-room.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/girls-at-kitchen-table-esw.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/esa-lounge_1.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/esa-kitchenette_1.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/esa-rec-area_1.jpg']",-84.4052835,33.7799706
